asset_id,name,category,deliverable_type,phase,game_id,baseline,status,integration_status,dependencies,required_variants,acceptance_brief,source_path,output_path,provenance,review_evidence
catalogue.inf_light.v1,Light Infantry Formation,Existing catalogue / Infantry,base_asset,P3,inf_light,Existing procedural model,reviewed,integrated,P0 pipeline,LOD0/1/2; existing game name; representative formation/refit label where applicable,Refine existing recognizable silhouette; exact DECK identity; shared renderer; retain glyph fallback.,spheres-web/ui/arsenal-models.js,runtime only; OBJ via tools/arsenal/export_obj.js,Original game art keyed to arsenal::DECK ids; names frozen to the deck.,"cc34065. Deck 20,780 -> 272,491 tris (avg 452 -> 5,924), coarse LOD added (avg 859). All 46 inside 4,000..12,000 near and 300..1,500 coarse. 50.7% of corners smoothed; faceted-identity models (F-117, B-2, RQ-170) kept faceted. Audit closed a budget-test escape hatch that would have let a class ship at 452 tris green. Checks: check_arsenal_models.cjs + Rust deck parity."
catalogue.inf_mech.v1,Mechanised Infantry Formation,Existing catalogue / Infantry,base_asset,P3,inf_mech,Existing procedural model,reviewed,integrated,P0 pipeline,LOD0/1/2; existing game name; representative formation/refit label where applicable,Refine existing recognizable silhouette; exact DECK identity; shared renderer; retain glyph fallback.,spheres-web/ui/arsenal-models.js,runtime only; OBJ via tools/arsenal/export_obj.js,Original game art keyed to arsenal::DECK ids; names frozen to the deck.,"cc34065. Deck 20,780 -> 272,491 tris (avg 452 -> 5,924), coarse LOD added (avg 859). All 46 inside 4,000..12,000 near and 300..1,500 coarse. 50.7% of corners smoothed; faceted-identity models (F-117, B-2, RQ-170) kept faceted. Audit closed a budget-test escape hatch that would have let a class ship at 452 tris green. Checks: check_arsenal_models.cjs + Rust deck parity."
catalogue.arm_gen2.v1,Second-Generation Armour,Existing catalogue / Armour,base_asset,P3,arm_gen2,Existing procedural model,reviewed,integrated,P0 pipeline,LOD0/1/2; existing game name; representative formation/refit label where applicable,Refine existing recognizable silhouette; exact DECK identity; shared renderer; retain glyph fallback.,spheres-web/ui/arsenal-models.js,runtime only; OBJ via tools/arsenal/export_obj.js,Original game art keyed to arsenal::DECK ids; names frozen to the deck.,"cc34065. Deck 20,780 -> 272,491 tris (avg 452 -> 5,924), coarse LOD added (avg 859). All 46 inside 4,000..12,000 near and 300..1,500 coarse. 50.7% of corners smoothed; faceted-identity models (F-117, B-2, RQ-170) kept faceted. Audit closed a budget-test escape hatch that would have let a class ship at 452 tris green. Checks: check_arsenal_models.cjs + Rust deck parity."
catalogue.arm_gen3.v1,Third-Generation Armour,Existing catalogue / Armour,base_asset,P3,arm_gen3,Existing procedural model,reviewed,integrated,P0 pipeline,LOD0/1/2; existing game name; representative formation/refit label where applicable,Refine existing recognizable silhouette; exact DECK identity; shared renderer; retain glyph fallback.,spheres-web/ui/arsenal-models.js,runtime only; OBJ via tools/arsenal/export_obj.js,Original game art keyed to arsenal::DECK ids; names frozen to the deck.,"cc34065. Deck 20,780 -> 272,491 tris (avg 452 -> 5,924), coarse LOD added (avg 859). All 46 inside 4,000..12,000 near and 300..1,500 coarse. 50.7% of corners smoothed; faceted-identity models (F-117, B-2, RQ-170) kept faceted. Audit closed a budget-test escape hatch that would have let a class ship at 452 tris green. Checks: check_arsenal_models.cjs + Rust deck parity."
catalogue.air_gen2.v1,Second-Generation Combat Aircraft,Existing catalogue / Air,base_asset,P3,air_gen2,Existing procedural model,reviewed,integrated,P0 pipeline,LOD0/1/2; existing game name; representative formation/refit label where applicable,Refine existing recognizable silhouette; exact DECK identity; shared renderer; retain glyph fallback.,spheres-web/ui/arsenal-models.js,runtime only; OBJ via tools/arsenal/export_obj.js,Original game art keyed to arsenal::DECK ids; names frozen to the deck.,"cc34065. Deck 20,780 -> 272,491 tris (avg 452 -> 5,924), coarse LOD added (avg 859). All 46 inside 4,000..12,000 near and 300..1,500 coarse. 50.7% of corners smoothed; faceted-identity models (F-117, B-2, RQ-170) kept faceted. Audit closed a budget-test escape hatch that would have let a class ship at 452 tris green. Checks: check_arsenal_models.cjs + Rust deck parity."
catalogue.air_gen3.v1,Third-Generation Combat Aircraft,Existing catalogue / Air,base_asset,P3,air_gen3,Existing procedural model,reviewed,integrated,P0 pipeline,LOD0/1/2; existing game name; representative formation/refit label where applicable,Refine existing recognizable silhouette; exact DECK identity; shared renderer; retain glyph fallback.,spheres-web/ui/arsenal-models.js,runtime only; OBJ via tools/arsenal/export_obj.js,Original game art keyed to arsenal::DECK ids; names frozen to the deck.,"cc34065. Deck 20,780 -> 272,491 tris (avg 452 -> 5,924), coarse LOD added (avg 859). All 46 inside 4,000..12,000 near and 300..1,500 coarse. 50.7% of corners smoothed; faceted-identity models (F-117, B-2, RQ-170) kept faceted. Audit closed a budget-test escape hatch that would have let a class ship at 452 tris green. Checks: check_arsenal_models.cjs + Rust deck parity."
catalogue.air_gen4.v1,Fourth-Generation Combat Aircraft,Existing catalogue / Air,base_asset,P3,air_gen4,Existing procedural model,reviewed,integrated,P0 pipeline,LOD0/1/2; existing game name; representative formation/refit label where applicable,Refine existing recognizable silhouette; exact DECK identity; shared renderer; retain glyph fallback.,spheres-web/ui/arsenal-models.js,runtime only; OBJ via tools/arsenal/export_obj.js,Original game art keyed to arsenal::DECK ids; names frozen to the deck.,"cc34065. Deck 20,780 -> 272,491 tris (avg 452 -> 5,924), coarse LOD added (avg 859). All 46 inside 4,000..12,000 near and 300..1,500 coarse. 50.7% of corners smoothed; faceted-identity models (F-117, B-2, RQ-170) kept faceted. Audit closed a budget-test escape hatch that would have let a class ship at 452 tris green. Checks: check_arsenal_models.cjs + Rust deck parity."
catalogue.nav_patrol.v1,Patrol and Coastal Craft,Existing catalogue / Naval,base_asset,P3,nav_patrol,Existing procedural model,reviewed,integrated,P0 pipeline,LOD0/1/2; existing game name; representative formation/refit label where applicable,Refine existing recognizable silhouette; exact DECK identity; shared renderer; retain glyph fallback.,spheres-web/ui/arsenal-models.js,runtime only; OBJ via tools/arsenal/export_obj.js,Original game art keyed to arsenal::DECK ids; names frozen to the deck.,"cc34065. Deck 20,780 -> 272,491 tris (avg 452 -> 5,924), coarse LOD added (avg 859). All 46 inside 4,000..12,000 near and 300..1,500 coarse. 50.7% of corners smoothed; faceted-identity models (F-117, B-2, RQ-170) kept faceted. Audit closed a budget-test escape hatch that would have let a class ship at 452 tris green. Checks: check_arsenal_models.cjs + Rust deck parity."
catalogue.nav_escort.v1,Escort Frigate or Destroyer,Existing catalogue / Naval,base_asset,P3,nav_escort,Existing procedural model,reviewed,integrated,P0 pipeline,LOD0/1/2; existing game name; representative formation/refit label where applicable,Refine existing recognizable silhouette; exact DECK identity; shared renderer; retain glyph fallback.,spheres-web/ui/arsenal-models.js,runtime only; OBJ via tools/arsenal/export_obj.js,Original game art keyed to arsenal::DECK ids; names frozen to the deck.,"cc34065. Deck 20,780 -> 272,491 tris (avg 452 -> 5,924), coarse LOD added (avg 859). All 46 inside 4,000..12,000 near and 300..1,500 coarse. 50.7% of corners smoothed; faceted-identity models (F-117, B-2, RQ-170) kept faceted. Audit closed a budget-test escape hatch that would have let a class ship at 452 tris green. Checks: check_arsenal_models.cjs + Rust deck parity."
catalogue.nav_blue.v1,Blue-Water Task Group,Existing catalogue / Naval,base_asset,P3,nav_blue,Existing procedural model,reviewed,integrated,P0 pipeline,LOD0/1/2; existing game name; representative formation/refit label where applicable,Refine existing recognizable silhouette; exact DECK identity; shared renderer; retain glyph fallback.,spheres-web/ui/arsenal-models.js,runtime only; OBJ via tools/arsenal/export_obj.js,Original game art keyed to arsenal::DECK ids; names frozen to the deck.,"cc34065. Deck 20,780 -> 272,491 tris (avg 452 -> 5,924), coarse LOD added (avg 859). All 46 inside 4,000..12,000 near and 300..1,500 coarse. 50.7% of corners smoothed; faceted-identity models (F-117, B-2, RQ-170) kept faceted. Audit closed a budget-test escape hatch that would have let a class ship at 452 tris green. Checks: check_arsenal_models.cjs + Rust deck parity."
